Параметр: в таблицах,Параметр: в поиске или карточке,Тип,количество вариантов?,Группа (для фасетов),Формат (фасет),Есть ли поиск  ,сколько корпусов,основной,исторический: церковнославянский,исторический: древнерусский,исторический: старорусский,исторический: берестяные грамоты,обучающий,газетный (regional),газетный (paper),параллельный,диалектный,акцентологический (main),акцентологический (стихи),поэтический,устный,мультипарк,МУРКО,В каких корпусах есть,Особенности
param,name,type,,group,,issearch,,main,orthlib,oldrus,midrus,birchbank,school,regional,paper,para,dialect,accent,,poetic,spoken,multiparc,murco,,
copied,Скопировано,Дата (точная или период),,даты ,ползунок по дате,нет,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,старорусский ,
year_recorded,Год записи,Дата (точная или период),,даты ,ползунок по дате,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
date_trans,Дата перевода,Дата (точная или период),,даты ,ползунок по дате,да,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,параллельный,
unstressed,Тип безударного вокализма после твердых согласных,выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
stressed_svet,Каким звуком реализуется *ê (старый ять) в позиции после мягкого перед твердым согласными под ударением? (св[’é]т или св[’ê]т или св[’и]т?) ,выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
stressed_svechka,Каким звуком реализуется *ê (старый ять) в позиции между мягкими согласными под ударением? (св[’é]чка или св[’ê]чка или св[’и]чка?),выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
stressed_gulyat,Каким звуком реализуется *a в позиции между мягкими согласными под ударением? (гул[’á]ть или гул[’é]ть?),выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
consonant_g,"Реализация /г/ перед гласным (не в словах, где [γ] возможен и в ЛЯ: например, в словах Бога, бухгалтер, междометиях ага, ого,— и не в окончании -ого):",выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
consonant_ch,Звук на месте /ч’/,выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
consonant_ts,Звук на месте /ц/,выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
consonant_affricates,Наблюдается ли в говоре совпадение аффрикат?,выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
normalized_spelling,Орфографизована ли запись?,выбор из списка,,диалект,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
speaker_name,Информант,строка,,информант,чекбокс,нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
speaker_age,Возраст информанта,число,,информант,ползунок по дате,нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,"возможно, реализовать поиск по большему кол-ву информации о информанте?"
speaker_birthplace,Место рождения информанта,строка,,информант,чекбокс,нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
speaker_education,Образование информанта,строка,,информант,чекбокс,нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
speaker_occupation,Профессия информанта,строка,,информант,чекбокс,нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
speaker_other,Другие сведения об информанте,строка,,информант,чекбокс,нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
source,Источник текста,строка,,источники,нет,нет,14,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"все, кроме церковнославянский, берестяные","скорее всего, не для фасетов"
publication,Издание,строка,,источники,нет,нет,5,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,"общий, старорусский, газетный (regional), обучающий, поэтический","скорее всего, не для фасетов"
